col1-time col2-mc1.x[0] col3-mc1.x[1] col4-mc1.y[0] 
134 72.000000 0.000000 0.000000 
135 71.000000 0.000000 0.000000 
136 70.000000 0.000000 0.000000 
137 69.000000 0.000000 0.000000 
138 68.000000 0.000000 0.000000 
139 67.000000 0.000000 0.000000 
140 66.000000 0.000000 0.000000 
141 65.000000 0.000000 0.000000 
142 64.000000 0.000000 0.000000 
143 63.000000 0.000000 0.000000 
144 62.000000 0.000000 0.000000 
145 61.000000 0.000000 0.000000 
146 60.000000 0.000000 0.000000 
147 59.000000 0.000000 0.000000 
148 58.000000 0.000000 0.000000 
149 57.000000 0.000000 0.000000 
150 56.000000 0.000000 0.000000 
151 55.000000 0.000000 0.000000 
152 54.000000 0.000000 0.000000 
153 53.000000 0.000000 0.000000 
154 52.000000 0.000000 0.000000 
155 51.000000 0.000000 0.000000 
156 50.000000 0.000000 0.000000 
157 49.000000 0.000000 0.000000 
158 48.000000 0.000000 0.000000 
159 47.000000 0.000000 0.000000 
160 46.000000 0.000000 0.000000 
161 45.000000 0.000000 0.000000 
162 44.000000 0.000000 0.000000 
163 43.000000 0.000000 0.000000 
164 42.000000 0.000000 0.000000 
165 41.000000 0.000000 0.000000 
166 40.000000 0.000000 0.000000 
167 39.000000 0.000000 0.000000 
168 38.000000 0.000000 0.000000 
169 37.000000 0.000000 0.000000 
170 36.000000 0.000000 0.000000 
171 35.000000 0.000000 0.000000 
172 34.000000 0.000000 0.000000 
173 33.000000 0.000000 0.000000 
174 32.000000 0.000000 0.000000 
175 31.000000 0.000000 0.000000 
176 30.000000 0.000000 0.000000 
177 29.000000 0.000000 0.000000 
178 28.000000 0.000000 0.000000 
179 27.000000 0.000000 0.000000 
180 26.000000 0.000000 0.000000 
181 25.000000 0.000000 0.000000 
182 24.000000 0.000000 0.000000 
183 23.000000 0.000000 0.000000 
184 22.000000 0.000000 0.000000 
185 21.000000 0.000000 0.000000 
186 20.000000 0.000000 0.000000 
187 19.000000 0.000000 0.000000 
188 18.000000 0.000000 0.000000 
189 17.000000 0.000000 0.000000 
190 16.000000 0.000000 0.000000 
191 15.000000 0.000000 0.000000 
192 14.000000 0.000000 0.000000 
193 13.000000 0.000000 0.000000 
194 12.000000 0.000000 0.000000 
195 11.000000 0.000000 0.000000 
196 10.000000 0.000000 0.000000 
197 9.000000 0.000000 0.000000 
198 8.000000 0.000000 0.000000 
199 7.000000 0.000000 0.000000 
200 6.000000 0.000000 0.000000 
201 5.000000 0.000000 0.000000 
202 4.000000 0.000000 0.000000 
203 3.000000 0.000000 0.000000 
204 2.000000 0.000000 0.000000 
205 1.000000 0.000000 0.000000 
206 0.000000 0.000000 0.000000 
207 60.000000 1.000000 1.000000 
208 59.000000 1.000000 1.000000 
209 58.000000 1.000000 1.000000 
210 57.000000 1.000000 1.000000 
211 56.000000 1.000000 1.000000 
212 55.000000 1.000000 1.000000 
213 54.000000 1.000000 1.000000 
214 53.000000 1.000000 1.000000 
215 52.000000 1.000000 1.000000 
216 51.000000 1.000000 1.000000 
217 50.000000 1.000000 1.000000 
218 49.000000 1.000000 1.000000 
219 48.000000 1.000000 1.000000 
220 47.000000 1.000000 1.000000 
221 46.000000 1.000000 1.000000 
222 45.000000 1.000000 1.000000 
223 44.000000 1.000000 1.000000 
224 43.000000 1.000000 1.000000 
225 42.000000 1.000000 1.000000 
226 41.000000 1.000000 1.000000 
227 40.000000 1.000000 1.000000 
228 39.000000 1.000000 1.000000 
229 38.000000 1.000000 1.000000 
230 37.000000 1.000000 1.000000 
231 36.000000 1.000000 1.000000 
232 35.000000 1.000000 1.000000 
233 34.000000 1.000000 1.000000 
234 33.000000 1.000000 1.000000 
235 32.000000 1.000000 1.000000 
236 31.000000 1.000000 1.000000 
237 30.000000 1.000000 1.000000 
238 29.000000 1.000000 1.000000 
239 28.000000 1.000000 1.000000 
240 27.000000 1.000000 1.000000 
241 26.000000 1.000000 1.000000 
242 25.000000 1.000000 1.000000 
243 24.000000 1.000000 1.000000 
244 23.000000 1.000000 1.000000 
245 22.000000 1.000000 1.000000 
246 21.000000 1.000000 1.000000 
247 20.000000 1.000000 1.000000 
248 19.000000 1.000000 1.000000 
249 18.000000 1.000000 1.000000 
250 17.000000 1.000000 1.000000 
251 16.000000 1.000000 1.000000 
252 15.000000 1.000000 1.000000 
253 14.000000 1.000000 1.000000 
254 13.000000 1.000000 1.000000 
255 12.000000 1.000000 1.000000 
256 11.000000 1.000000 1.000000 
257 10.000000 1.000000 1.000000 
258 9.000000 1.000000 1.000000 
259 8.000000 1.000000 1.000000 
260 7.000000 1.000000 1.000000 
261 6.000000 1.000000 1.000000 
262 5.000000 1.000000 1.000000 
263 4.000000 1.000000 1.000000 
264 3.000000 1.000000 1.000000 
265 2.000000 1.000000 1.000000 
266 1.000000 1.000000 1.000000 
267 0.000000 1.000000 1.000000 
268 96.000000 2.000000 2.000000 
269 95.000000 2.000000 2.000000 
270 94.000000 2.000000 2.000000 
271 93.000000 2.000000 2.000000 
272 92.000000 2.000000 2.000000 
273 91.000000 2.000000 2.000000 
274 90.000000 2.000000 2.000000 
275 89.000000 2.000000 2.000000 
276 88.000000 2.000000 2.000000 
277 87.000000 2.000000 2.000000 
278 86.000000 2.000000 2.000000 
279 85.000000 2.000000 2.000000 
280 84.000000 2.000000 2.000000 
281 83.000000 2.000000 2.000000 
282 82.000000 2.000000 2.000000 
283 81.000000 2.000000 2.000000 
284 80.000000 2.000000 2.000000 
285 79.000000 2.000000 2.000000 
286 78.000000 2.000000 2.000000 
287 77.000000 2.000000 2.000000 
288 76.000000 2.000000 2.000000 
289 75.000000 2.000000 2.000000 
290 74.000000 2.000000 2.000000 
291 73.000000 2.000000 2.000000 
292 72.000000 2.000000 2.000000 
293 71.000000 2.000000 2.000000 
294 70.000000 2.000000 2.000000 
295 69.000000 2.000000 2.000000 
296 68.000000 2.000000 2.000000 
297 67.000000 2.000000 2.000000 
298 66.000000 2.000000 2.000000 
299 65.000000 2.000000 2.000000 
300 64.000000 2.000000 2.000000 
301 63.000000 2.000000 2.000000 
302 62.000000 2.000000 2.000000 
303 61.000000 2.000000 2.000000 
304 60.000000 2.000000 2.000000 
305 59.000000 2.000000 2.000000 
306 58.000000 2.000000 2.000000 
